Node list: nid002084
Wed Oct 22 17:24:25 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.163.01             Driver Version: 550.163.01     CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:03:00.0 Off |                    0 |
| N/A   30C    P0             51W /  400W |       1MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
|   1  NVIDIA A100-SXM4-40GB          On  |   00000000:41:00.0 Off |                    0 |
| N/A   28C    P0             52W /  400W |       1MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
|   2  NVIDIA A100-SXM4-40GB          On  |   00000000:82:00.0 Off |                    0 |
| N/A   29C    P0             52W /  400W |       1MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
|   3  NVIDIA A100-SXM4-40GB          On  |   00000000:C1:00.0 Off |                    0 |
| N/A   28C    P0             53W /  400W |       1MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
step: 10000/500000 | pT_loss: 0.2155 | eta_loss: 0.1900 | phi_loss: 0.0521 | energy_loss: 0.2322 | total_train_loss: 0.1725
step: 130000/500000 | pT_loss: 0.1116 | eta_loss: 0.1381 | phi_loss: 0.0199 | energy_loss: 0.1216 | total_train_loss: 0.0978
step: 140000/500000 | pT_loss: 0.1118 | eta_loss: 0.1381 | phi_loss: 0.0200 | energy_loss: 0.1216 | total_train_loss: 0.0979
step: 150000/500000 | pT_loss: 0.1118 | eta_loss: 0.1380 | phi_loss: 0.0200 | energy_loss: 0.1215 | total_train_loss: 0.0978
step: 160000/500000 | pT_loss: 0.1116 | eta_loss: 0.1378 | phi_loss: 0.0200 | energy_loss: 0.1213 | total_train_loss: 0.0977
step: 170000/500000 | pT_loss: 0.1114 | eta_loss: 0.1376 | phi_loss: 0.0199 | energy_loss: 0.1210 | total_train_loss: 0.0975
step: 180000/500000 | pT_loss: 0.1113 | eta_loss: 0.1375 | phi_loss: 0.0199 | energy_loss: 0.1209 | total_train_loss: 0.0974
step: 190000/500000 | pT_loss: 0.1112 | eta_loss: 0.1373 | phi_loss: 0.0199 | energy_loss: 0.1208 | total_train_loss: 0.0973
step: 200000/500000 | pT_loss: 0.1110 | eta_loss: 0.1372 | phi_loss: 0.0198 | energy_loss: 0.1206 | total_train_loss: 0.0972
epoch: 2/5 | pT_loss: 0.1163 | eta_loss: 0.1375 | phi_loss: 0.0192 | energy_loss: 0.1249 | total_val_loss: 0.0995
step: 210000/500000 | pT_loss: 0.1096 | eta_loss: 0.1355 | phi_loss: 0.0195 | energy_loss: 0.1187 | total_train_loss: 0.0958
step: 220000/500000 | pT_loss: 0.1097 | eta_loss: 0.1355 | phi_loss: 0.0194 | energy_loss: 0.1187 | total_train_loss: 0.0958
step: 230000/500000 | pT_loss: 0.1095 | eta_loss: 0.1354 | phi_loss: 0.0194 | energy_loss: 0.1185 | total_train_loss: 0.0957
step: 240000/500000 | pT_loss: 0.1095 | eta_loss: 0.1354 | phi_loss: 0.0194 | energy_loss: 0.1185 | total_train_loss: 0.0957
step: 250000/500000 | pT_loss: 0.1094 | eta_loss: 0.1354 | phi_loss: 0.0194 | energy_loss: 0.1183 | total_train_loss: 0.0956
step: 260000/500000 | pT_loss: 0.1095 | eta_loss: 0.1353 | phi_loss: 0.0194 | energy_loss: 0.1184 | total_train_loss: 0.0957
step: 270000/500000 | pT_loss: 0.1094 | eta_loss: 0.1352 | phi_loss: 0.0194 | energy_loss: 0.1183 | total_train_loss: 0.0956
step: 280000/500000 | pT_loss: 0.1093 | eta_loss: 0.1352 | phi_loss: 0.0194 | energy_loss: 0.1183 | total_train_loss: 0.0956
step: 290000/500000 | pT_loss: 0.1092 | eta_loss: 0.1352 | phi_loss: 0.0194 | energy_loss: 0.1183 | total_train_loss: 0.0955
step: 300000/500000 | pT_loss: 0.1092 | eta_loss: 0.1351 | phi_loss: 0.0194 | energy_loss: 0.1182 | total_train_loss: 0.0955
epoch: 3/5 | pT_loss: 0.1144 | eta_loss: 0.1369 | phi_loss: 0.0203 | energy_loss: 0.1214 | total_val_loss: 0.0983
step: 310000/500000 | pT_loss: 0.1083 | eta_loss: 0.1348 | phi_loss: 0.0193 | energy_loss: 0.1173 | total_train_loss: 0.0949
step: 320000/500000 | pT_loss: 0.1085 | eta_loss: 0.1347 | phi_loss: 0.0193 | energy_loss: 0.1172 | total_train_loss: 0.0949
step: 330000/500000 | pT_loss: 0.1086 | eta_loss: 0.1346 | phi_loss: 0.0193 | energy_loss: 0.1173 | total_train_loss: 0.0949
step: 340000/500000 | pT_loss: 0.1086 | eta_loss: 0.1345 | phi_loss: 0.0193 | energy_loss: 0.1172 | total_train_loss: 0.0949
step: 350000/500000 | pT_loss: 0.1084 | eta_loss: 0.1345 | phi_loss: 0.0192 | energy_loss: 0.1170 | total_train_loss: 0.0948
step: 360000/500000 | pT_loss: 0.1086 | eta_loss: 0.1345 | phi_loss: 0.0193 | energy_loss: 0.1172 | total_train_loss: 0.0949
step: 370000/500000 | pT_loss: 0.1085 | eta_loss: 0.1345 | phi_loss: 0.0193 | energy_loss: 0.1171 | total_train_loss: 0.0948
step: 380000/500000 | pT_loss: 0.1085 | eta_loss: 0.1344 | phi_loss: 0.0192 | energy_loss: 0.1170 | total_train_loss: 0.0948
step: 390000/500000 | pT_loss: 0.1084 | eta_loss: 0.1344 | phi_loss: 0.0192 | energy_loss: 0.1169 | total_train_loss: 0.0947
step: 400000/500000 | pT_loss: 0.1083 | eta_loss: 0.1344 | phi_loss: 0.0192 | energy_loss: 0.1168 | total_train_loss: 0.0947
epoch: 4/5 | pT_loss: 0.1133 | eta_loss: 0.1347 | phi_loss: 0.0197 | energy_loss: 0.1207 | total_val_loss: 0.0971
step: 410000/500000 | pT_loss: 0.1076 | eta_loss: 0.1340 | phi_loss: 0.0191 | energy_loss: 0.1160 | total_train_loss: 0.0942
step: 420000/500000 | pT_loss: 0.1079 | eta_loss: 0.1339 | phi_loss: 0.0191 | energy_loss: 0.1162 | total_train_loss: 0.0943
step: 430000/500000 | pT_loss: 0.1079 | eta_loss: 0.1339 | phi_loss: 0.0191 | energy_loss: 0.1162 | total_train_loss: 0.0943
step: 440000/500000 | pT_loss: 0.1077 | eta_loss: 0.1339 | phi_loss: 0.0191 | energy_loss: 0.1161 | total_train_loss: 0.0942
step: 450000/500000 | pT_loss: 0.1077 | eta_loss: 0.1339 | phi_loss: 0.0191 | energy_loss: 0.1161 | total_train_loss: 0.0942
step: 460000/500000 | pT_loss: 0.1076 | eta_loss: 0.1339 | phi_loss: 0.0191 | energy_loss: 0.1160 | total_train_loss: 0.0941
step: 470000/500000 | pT_loss: 0.1075 | eta_loss: 0.1339 | phi_loss: 0.0191 | energy_loss: 0.1159 | total_train_loss: 0.0941
step: 480000/500000 | pT_loss: 0.1075 | eta_loss: 0.1339 | phi_loss: 0.0191 | energy_loss: 0.1159 | total_train_loss: 0.0941
step: 490000/500000 | pT_loss: 0.1076 | eta_loss: 0.1339 | phi_loss: 0.0191 | energy_loss: 0.1159 | total_train_loss: 0.0941
step: 500000/500000 | pT_loss: 0.1075 | eta_loss: 0.1339 | phi_loss: 0.0191 | energy_loss: 0.1159 | total_train_loss: 0.0941
epoch: 5/5 | pT_loss: 0.1139 | eta_loss: 0.1345 | phi_loss: 0.0193 | energy_loss: 0.1213 | total_val_loss: 0.0972
