Node list: nid001501
Sat Oct 18 20:47:07 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.163.01             Driver Version: 550.163.01     CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:03:00.0 Off |                    0 |
| N/A   30C    P0             52W /  400W |       1MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
|   1  NVIDIA A100-SXM4-40GB          On  |   00000000:41:00.0 Off |                    0 |
| N/A   29C    P0             54W /  400W |       1MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
|   2  NVIDIA A100-SXM4-40GB          On  |   00000000:82:00.0 Off |                    0 |
| N/A   29C    P0             53W /  400W |       1MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
|   3  NVIDIA A100-SXM4-40GB          On  |   00000000:C1:00.0 Off |                    0 |
| N/A   28C    P0             53W /  400W |       1MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
step: 10000/500000 | pT_loss: 0.2226 | eta_loss: 0.1907 | phi_loss: 0.0530 | energy_loss: 0.2343 | total_train_loss: 0.1752
step: 130000/500000 | pT_loss: 0.1139 | eta_loss: 0.1385 | phi_loss: 0.0199 | energy_loss: 0.1233 | total_train_loss: 0.0989
step: 140000/500000 | pT_loss: 0.1133 | eta_loss: 0.1383 | phi_loss: 0.0199 | energy_loss: 0.1226 | total_train_loss: 0.0985
step: 150000/500000 | pT_loss: 0.1131 | eta_loss: 0.1381 | phi_loss: 0.0198 | energy_loss: 0.1223 | total_train_loss: 0.0983
step: 160000/500000 | pT_loss: 0.1129 | eta_loss: 0.1380 | phi_loss: 0.0198 | energy_loss: 0.1220 | total_train_loss: 0.0982
step: 170000/500000 | pT_loss: 0.1127 | eta_loss: 0.1379 | phi_loss: 0.0198 | energy_loss: 0.1219 | total_train_loss: 0.0981
step: 180000/500000 | pT_loss: 0.1125 | eta_loss: 0.1377 | phi_loss: 0.0197 | energy_loss: 0.1217 | total_train_loss: 0.0979
step: 190000/500000 | pT_loss: 0.1124 | eta_loss: 0.1376 | phi_loss: 0.0197 | energy_loss: 0.1215 | total_train_loss: 0.0978
step: 200000/500000 | pT_loss: 0.1123 | eta_loss: 0.1375 | phi_loss: 0.0197 | energy_loss: 0.1215 | total_train_loss: 0.0977
epoch: 2/5 | pT_loss: 0.1132 | eta_loss: 0.1370 | phi_loss: 0.0850 | energy_loss: 0.1202 | total_val_loss: 0.1138
step: 210000/500000 | pT_loss: 0.1106 | eta_loss: 0.1364 | phi_loss: 0.0194 | energy_loss: 0.1198 | total_train_loss: 0.0965
step: 220000/500000 | pT_loss: 0.1100 | eta_loss: 0.1362 | phi_loss: 0.0194 | energy_loss: 0.1192 | total_train_loss: 0.0962
step: 230000/500000 | pT_loss: 0.1102 | eta_loss: 0.1362 | phi_loss: 0.0194 | energy_loss: 0.1194 | total_train_loss: 0.0963
step: 240000/500000 | pT_loss: 0.1102 | eta_loss: 0.1361 | phi_loss: 0.0194 | energy_loss: 0.1192 | total_train_loss: 0.0962
step: 250000/500000 | pT_loss: 0.1102 | eta_loss: 0.1361 | phi_loss: 0.0194 | energy_loss: 0.1192 | total_train_loss: 0.0962
step: 260000/500000 | pT_loss: 0.1101 | eta_loss: 0.1360 | phi_loss: 0.0194 | energy_loss: 0.1190 | total_train_loss: 0.0961
step: 270000/500000 | pT_loss: 0.1100 | eta_loss: 0.1360 | phi_loss: 0.0193 | energy_loss: 0.1189 | total_train_loss: 0.0961
step: 280000/500000 | pT_loss: 0.1100 | eta_loss: 0.1359 | phi_loss: 0.0193 | energy_loss: 0.1189 | total_train_loss: 0.0961
step: 290000/500000 | pT_loss: 0.1099 | eta_loss: 0.1359 | phi_loss: 0.0193 | energy_loss: 0.1186 | total_train_loss: 0.0959
step: 300000/500000 | pT_loss: 0.1098 | eta_loss: 0.1359 | phi_loss: 0.0193 | energy_loss: 0.1186 | total_train_loss: 0.0959
epoch: 3/5 | pT_loss: 0.1104 | eta_loss: 0.1354 | phi_loss: 0.1085 | energy_loss: 0.1184 | total_val_loss: 0.1182
step: 310000/500000 | pT_loss: 0.1106 | eta_loss: 0.1351 | phi_loss: 0.0192 | energy_loss: 0.1190 | total_train_loss: 0.0960
step: 320000/500000 | pT_loss: 0.1099 | eta_loss: 0.1352 | phi_loss: 0.0192 | energy_loss: 0.1184 | total_train_loss: 0.0957
step: 330000/500000 | pT_loss: 0.1096 | eta_loss: 0.1351 | phi_loss: 0.0192 | energy_loss: 0.1181 | total_train_loss: 0.0955
step: 340000/500000 | pT_loss: 0.1093 | eta_loss: 0.1351 | phi_loss: 0.0192 | energy_loss: 0.1178 | total_train_loss: 0.0954
step: 350000/500000 | pT_loss: 0.1093 | eta_loss: 0.1351 | phi_loss: 0.0192 | energy_loss: 0.1179 | total_train_loss: 0.0954
step: 360000/500000 | pT_loss: 0.1093 | eta_loss: 0.1351 | phi_loss: 0.0192 | energy_loss: 0.1179 | total_train_loss: 0.0954
step: 370000/500000 | pT_loss: 0.1093 | eta_loss: 0.1351 | phi_loss: 0.0192 | energy_loss: 0.1180 | total_train_loss: 0.0954
step: 380000/500000 | pT_loss: 0.1093 | eta_loss: 0.1351 | phi_loss: 0.0192 | energy_loss: 0.1179 | total_train_loss: 0.0953
step: 390000/500000 | pT_loss: 0.1092 | eta_loss: 0.1350 | phi_loss: 0.0192 | energy_loss: 0.1178 | total_train_loss: 0.0953
step: 400000/500000 | pT_loss: 0.1092 | eta_loss: 0.1350 | phi_loss: 0.0192 | energy_loss: 0.1178 | total_train_loss: 0.0953
epoch: 4/5 | pT_loss: 0.1135 | eta_loss: 0.1354 | phi_loss: 0.1056 | energy_loss: 0.1199 | total_val_loss: 0.1186
step: 410000/500000 | pT_loss: 0.1080 | eta_loss: 0.1348 | phi_loss: 0.0191 | energy_loss: 0.1165 | total_train_loss: 0.0946
step: 420000/500000 | pT_loss: 0.1080 | eta_loss: 0.1348 | phi_loss: 0.0191 | energy_loss: 0.1168 | total_train_loss: 0.0947
step: 430000/500000 | pT_loss: 0.1082 | eta_loss: 0.1347 | phi_loss: 0.0191 | energy_loss: 0.1170 | total_train_loss: 0.0948
step: 440000/500000 | pT_loss: 0.1085 | eta_loss: 0.1347 | phi_loss: 0.0191 | energy_loss: 0.1171 | total_train_loss: 0.0949
step: 450000/500000 | pT_loss: 0.1085 | eta_loss: 0.1347 | phi_loss: 0.0191 | energy_loss: 0.1171 | total_train_loss: 0.0949
step: 460000/500000 | pT_loss: 0.1085 | eta_loss: 0.1347 | phi_loss: 0.0191 | energy_loss: 0.1170 | total_train_loss: 0.0948
step: 470000/500000 | pT_loss: 0.1085 | eta_loss: 0.1347 | phi_loss: 0.0191 | energy_loss: 0.1171 | total_train_loss: 0.0948
step: 480000/500000 | pT_loss: 0.1085 | eta_loss: 0.1347 | phi_loss: 0.0191 | energy_loss: 0.1170 | total_train_loss: 0.0948
step: 490000/500000 | pT_loss: 0.1085 | eta_loss: 0.1347 | phi_loss: 0.0191 | energy_loss: 0.1170 | total_train_loss: 0.0948
step: 500000/500000 | pT_loss: 0.1085 | eta_loss: 0.1346 | phi_loss: 0.0191 | energy_loss: 0.1170 | total_train_loss: 0.0948
epoch: 5/5 | pT_loss: 0.1124 | eta_loss: 0.1349 | phi_loss: 0.1241 | energy_loss: 0.1191 | total_val_loss: 0.1226
